time 0ms: Simulator started (Contiguous -- Next-Fit)
time 501ms: Process G arrived (requires 13 frames)
time 501ms: Process F arrived (requires 24 frames)
time 502ms: Process G arrived (requires 13 frames)
time 502ms: Process F arrived (requires 24 frames)
time 503ms: Process G arrived (requires 13 frames)
time 503ms: Process F arrived (requires 24 frames)
time 504ms: Process G arrived (requires 13 frames)
time 504ms: Process F arrived (requires 24 frames)
time 505ms: Process G arrived (requires 13 frames)
time 505ms: Process F arrived (requires 24 frames)
time 506ms: Process G arrived (requires 13 frames)
time 506ms: Process F arrived (requires 24 frames)
time 507ms: Process G arrived (requires 13 frames)
time 507ms: Process F arrived (requires 24 frames)
time 508ms: Process G arrived (requires 13 frames)
time 508ms: Process F arrived (requires 24 frames)
time 509ms: Process G arrived (requires 13 frames)
time 509ms: Process F arrived (requires 24 frames)
time 510ms: Process G arrived (requires 13 frames)
time 510ms: Process F arrived (requires 24 frames)
time 511ms: Process G arrived (requires 13 frames)
time 511ms: Process F arrived (requires 24 frames)
time 512ms: Process G arrived (requires 13 frames)
time 512ms: Process F arrived (requires 24 frames)
time 513ms: Process G arrived (requires 13 frames)
time 513ms: Process F arrived (requires 24 frames)
time 514ms: Process G arrived (requires 13 frames)
time 514ms: Process F arrived (requires 24 frames)
time 515ms: Process G arrived (requires 13 frames)
time 515ms: Process F arrived (requires 24 frames)
time 516ms: Process G arrived (requires 13 frames)
time 516ms: Process F arrived (requires 24 frames)
time 517ms: Process G arrived (requires 13 frames)
time 517ms: Process F arrived (requires 24 frames)
time 518ms: Process G arrived (requires 13 frames)
time 518ms: Process F arrived (requires 24 frames)
time 519ms: Process G arrived (requires 13 frames)
time 519ms: Process F arrived (requires 24 frames)
time 520ms: Process G arrived (requires 13 frames)
time 520ms: Process F arrived (requires 24 frames)
time 521ms: Process G arrived (requires 13 frames)
time 521ms: Process F arrived (requires 24 frames)
time 522ms: Process G arrived (requires 13 frames)
time 522ms: Process F arrived (requires 24 frames)
time 523ms: Process G arrived (requires 13 frames)
time 523ms: Process F arrived (requires 24 frames)
time 524ms: Process G arrived (requires 13 frames)
time 524ms: Process F arrived (requires 24 frames)
time 525ms: Process G arrived (requires 13 frames)
time 525ms: Process F arrived (requires 24 frames)
time 526ms: Process G arrived (requires 13 frames)
time 526ms: Process F arrived (requires 24 frames)
time 527ms: Process G arrived (requires 13 frames)
time 527ms: Process F arrived (requires 24 frames)
time 528ms: Process G arrived (requires 13 frames)
time 528ms: Process F arrived (requires 24 frames)
time 529ms: Process G arrived (requires 13 frames)
time 529ms: Process F arrived (requires 24 frames)
time 530ms: Process G arrived (requires 13 frames)
time 530ms: Process F arrived (requires 24 frames)
time 531ms: Process G arrived (requires 13 frames)
time 531ms: Process F arrived (requires 24 frames)
time 532ms: Process G arrived (requires 13 frames)
time 532ms: Process F arrived (requires 24 frames)
time 533ms: Process G arrived (requires 13 frames)
time 533ms: Process F arrived (requires 24 frames)
time 534ms: Process G arrived (requires 13 frames)
time 534ms: Process F arrived (requires 24 frames)
time 535ms: Process G arrived (requires 13 frames)
time 535ms: Process F arrived (requires 24 frames)
time 536ms: Process G arrived (requires 13 frames)
time 536ms: Process F arrived (requires 24 frames)
time 537ms: Process G arrived (requires 13 frames)
time 537ms: Process F arrived (requires 24 frames)
time 538ms: Process G arrived (requires 13 frames)
time 538ms: Process F arrived (requires 24 frames)
time 539ms: Process G arrived (requires 13 frames)
time 539ms: Process F arrived (requires 24 frames)
time 540ms: Process G arrived (requires 13 frames)
time 540ms: Process F arrived (requires 24 frames)
time 541ms: Process G arrived (requires 13 frames)
time 541ms: Process F arrived (requires 24 frames)
time 542ms: Process G arrived (requires 13 frames)
time 542ms: Process F arrived (requires 24 frames)
time 543ms: Process G arrived (requires 13 frames)
time 543ms: Process F arrived (requires 24 frames)
time 544ms: Process G arrived (requires 13 frames)
time 544ms: Process F arrived (requires 24 frames)
time 545ms: Process G arrived (requires 13 frames)
time 545ms: Process F arrived (requires 24 frames)
time 546ms: Process G arrived (requires 13 frames)
time 546ms: Process F arrived (requires 24 frames)
time 547ms: Process G arrived (requires 13 frames)
time 547ms: Process F arrived (requires 24 frames)
time 548ms: Process G arrived (requires 13 frames)
time 548ms: Process F arrived (requires 24 frames)
time 549ms: Process G arrived (requires 13 frames)
time 549ms: Process F arrived (requires 24 frames)
time 550ms: Process G arrived (requires 13 frames)
time 550ms: Process F arrived (requires 24 frames)
time 550ms: Process J arrived (requires 46 frames)
time 551ms: Process G arrived (requires 13 frames)
time 551ms: Process F arrived (requires 24 frames)
time 551ms: Process J arrived (requires 46 frames)
time 552ms: Process G arrived (requires 13 frames)
time 552ms: Process F arrived (requires 24 frames)
time 552ms: Process J arrived (requires 46 frames)
time 553ms: Process G arrived (requires 13 frames)
time 553ms: Process F arrived (requires 24 frames)
time 553ms: Process J arrived (requires 46 frames)
time 554ms: Process G arrived (requires 13 frames)
time 554ms: Process F arrived (requires 24 frames)
time 554ms: Process J arrived (requires 46 frames)
time 555ms: Process G arrived (requires 13 frames)
time 555ms: Process F arrived (requires 24 frames)
time 555ms: Process J arrived (requires 46 frames)
time 556ms: Process G arrived (requires 13 frames)
time 556ms: Process F arrived (requires 24 frames)
time 556ms: Process J arrived (requires 46 frames)
time 557ms: Process G arrived (requires 13 frames)
time 557ms: Process F arrived (requires 24 frames)
time 557ms: Process J arrived (requires 46 frames)
time 558ms: Process G arrived (requires 13 frames)
time 558ms: Process F arrived (requires 24 frames)
time 558ms: Process J arrived (requires 46 frames)
time 559ms: Process G arrived (requires 13 frames)
time 559ms: Process F arrived (requires 24 frames)
time 559ms: Process J arrived (requires 46 frames)
time 560ms: Process G arrived (requires 13 frames)
time 560ms: Process F arrived (requires 24 frames)
time 560ms: Process J arrived (requires 46 frames)
time 561ms: Process G arrived (requires 13 frames)
time 561ms: Process F arrived (requires 24 frames)
time 561ms: Process J arrived (requires 46 frames)
time 562ms: Process G arrived (requires 13 frames)
time 562ms: Process F arrived (requires 24 frames)
time 562ms: Process J arrived (requires 46 frames)
time 563ms: Process G arrived (requires 13 frames)
time 563ms: Process F arrived (requires 24 frames)
time 563ms: Process J arrived (requires 46 frames)
time 564ms: Process G arrived (requires 13 frames)
time 564ms: Process F arrived (requires 24 frames)
time 564ms: Process J arrived (requires 46 frames)
time 565ms: Process G arrived (requires 13 frames)
time 565ms: Process F arrived (requires 24 frames)
time 565ms: Process J arrived (requires 46 frames)
time 566ms: Process G arrived (requires 13 frames)
time 566ms: Process F arrived (requires 24 frames)
time 566ms: Process J arrived (requires 46 frames)
time 567ms: Process G arrived (requires 13 frames)
time 567ms: Process F arrived (requires 24 frames)
time 567ms: Process J arrived (requires 46 frames)
time 568ms: Process G arrived (requires 13 frames)
time 568ms: Process F arrived (requires 24 frames)
time 568ms: Process J arrived (requires 46 frames)
time 569ms: Process G arrived (requires 13 frames)
time 569ms: Process F arrived (requires 24 frames)
time 569ms: Process J arrived (requires 46 frames)
time 570ms: Process G arrived (requires 13 frames)
time 570ms: Process F arrived (requires 24 frames)
time 570ms: Process J arrived (requires 46 frames)
time 571ms: Process G arrived (requires 13 frames)
time 571ms: Process F arrived (requires 24 frames)
time 571ms: Process J arrived (requires 46 frames)
time 572ms: Process G arrived (requires 13 frames)
time 572ms: Process F arrived (requires 24 frames)
time 572ms: Process J arrived (requires 46 frames)
time 573ms: Process G arrived (requires 13 frames)
time 573ms: Process F arrived (requires 24 frames)
time 573ms: Process J arrived (requires 46 frames)
time 574ms: Process G arrived (requires 13 frames)
time 574ms: Process F arrived (requires 24 frames)
time 574ms: Process J arrived (requires 46 frames)
time 575ms: Process G arrived (requires 13 frames)
time 575ms: Process F arrived (requires 24 frames)
time 575ms: Process J arrived (requires 46 frames)
time 576ms: Process G arrived (requires 13 frames)
time 576ms: Process F arrived (requires 24 frames)
time 576ms: Process J arrived (requires 46 frames)
time 577ms: Process G arrived (requires 13 frames)
time 577ms: Process F arrived (requires 24 frames)
time 577ms: Process J arrived (requires 46 frames)
time 578ms: Process G arrived (requires 13 frames)
time 578ms: Process F arrived (requires 24 frames)
time 578ms: Process J arrived (requires 46 frames)
time 579ms: Process G arrived (requires 13 frames)
time 579ms: Process F arrived (requires 24 frames)
time 579ms: Process J arrived (requires 46 frames)
time 580ms: Process G arrived (requires 13 frames)
time 580ms: Process F arrived (requires 24 frames)
time 580ms: Process J arrived (requires 46 frames)
time 581ms: Process G arrived (requires 13 frames)
time 581ms: Process F arrived (requires 24 frames)
time 581ms: Process J arrived (requires 46 frames)
time 582ms: Process G arrived (requires 13 frames)
time 582ms: Process F arrived (requires 24 frames)
time 582ms: Process J arrived (requires 46 frames)
time 583ms: Process G arrived (requires 13 frames)
time 583ms: Process F arrived (requires 24 frames)
time 583ms: Process J arrived (requires 46 frames)
time 584ms: Process G arrived (requires 13 frames)
time 584ms: Process F arrived (requires 24 frames)
time 584ms: Process J arrived (requires 46 frames)
time 585ms: Process G arrived (requires 13 frames)
time 585ms: Process F arrived (requires 24 frames)
time 585ms: Process J arrived (requires 46 frames)
time 586ms: Process G arrived (requires 13 frames)
time 586ms: Process F arrived (requires 24 frames)
time 586ms: Process J arrived (requires 46 frames)
time 587ms: Process G arrived (requires 13 frames)
time 587ms: Process F arrived (requires 24 frames)
time 587ms: Process J arrived (requires 46 frames)
time 588ms: Process G arrived (requires 13 frames)
time 588ms: Process F arrived (requires 24 frames)
time 588ms: Process J arrived (requires 46 frames)
time 589ms: Process G arrived (requires 13 frames)
time 589ms: Process F arrived (requires 24 frames)
time 589ms: Process J arrived (requires 46 frames)
time 590ms: Process G arrived (requires 13 frames)
time 590ms: Process F arrived (requires 24 frames)
time 590ms: Process J arrived (requires 46 frames)
time 591ms: Process G arrived (requires 13 frames)
time 591ms: Process F arrived (requires 24 frames)
time 591ms: Process J arrived (requires 46 frames)
time 592ms: Process G arrived (requires 13 frames)
time 592ms: Process F arrived (requires 24 frames)
time 592ms: Process J arrived (requires 46 frames)
time 593ms: Process G arrived (requires 13 frames)
time 593ms: Process F arrived (requires 24 frames)
time 593ms: Process J arrived (requires 46 frames)
time 594ms: Process G arrived (requires 13 frames)
time 594ms: Process F arrived (requires 24 frames)
time 594ms: Process J arrived (requires 46 frames)
time 595ms: Process G arrived (requires 13 frames)
time 595ms: Process F arrived (requires 24 frames)
time 595ms: Process J arrived (requires 46 frames)
time 596ms: Process G arrived (requires 13 frames)
time 596ms: Process F arrived (requires 24 frames)
time 596ms: Process J arrived (requires 46 frames)
time 597ms: Process G arrived (requires 13 frames)
time 597ms: Process F arrived (requires 24 frames)
time 597ms: Process J arrived (requires 46 frames)
time 598ms: Process G arrived (requires 13 frames)
time 598ms: Process F arrived (requires 24 frames)
time 598ms: Process J arrived (requires 46 frames)
time 599ms: Process G arrived (requires 13 frames)
time 599ms: Process F arrived (requires 24 frames)
time 599ms: Process J arrived (requires 46 frames)
time 600ms: Process G arrived (requires 13 frames)
time 600ms: Process F arrived (requires 24 frames)
time 600ms: Process J arrived (requires 46 frames)
time 601ms: Process G arrived (requires 13 frames)
time 601ms: Process F arrived (requires 24 frames)
time 601ms: Process J arrived (requires 46 frames)
time 602ms: Process G arrived (requires 13 frames)
time 602ms: Process F arrived (requires 24 frames)
time 602ms: Process J arrived (requires 46 frames)
time 603ms: Process G arrived (requires 13 frames)
time 603ms: Process F arrived (requires 24 frames)
time 603ms: Process J arrived (requires 46 frames)
time 604ms: Process G arrived (requires 13 frames)
time 604ms: Process F arrived (requires 24 frames)
time 604ms: Process J arrived (requires 46 frames)
time 605ms: Process G arrived (requires 13 frames)
time 605ms: Process F arrived (requires 24 frames)
time 605ms: Process J arrived (requires 46 frames)
time 606ms: Process G arrived (requires 13 frames)
time 606ms: Process F arrived (requires 24 frames)
time 606ms: Process J arrived (requires 46 frames)
time 607ms: Process G arrived (requires 13 frames)
time 607ms: Process F arrived (requires 24 frames)
time 607ms: Process J arrived (requires 46 frames)
time 608ms: Process G arrived (requires 13 frames)
time 608ms: Process F arrived (requires 24 frames)
time 608ms: Process J arrived (requires 46 frames)
time 609ms: Process G arrived (requires 13 frames)
time 609ms: Process F arrived (requires 24 frames)
time 609ms: Process J arrived (requires 46 frames)
time 610ms: Process G arrived (requires 13 frames)
time 610ms: Process F arrived (requires 24 frames)
time 610ms: Process J arrived (requires 46 frames)
time 611ms: Process G arrived (requires 13 frames)
time 611ms: Process F arrived (requires 24 frames)
time 611ms: Process J arrived (requires 46 frames)
time 612ms: Process G arrived (requires 13 frames)
time 612ms: Process F arrived (requires 24 frames)
time 612ms: Process J arrived (requires 46 frames)
time 613ms: Process G arrived (requires 13 frames)
time 613ms: Process F arrived (requires 24 frames)
time 613ms: Process J arrived (requires 46 frames)
time 614ms: Process G arrived (requires 13 frames)
time 614ms: Process F arrived (requires 24 frames)
time 614ms: Process J arrived (requires 46 frames)
time 615ms: Process G arrived (requires 13 frames)
time 615ms: Process F arrived (requires 24 frames)
time 615ms: Process J arrived (requires 46 frames)
time 616ms: Process G arrived (requires 13 frames)
time 616ms: Process F arrived (requires 24 frames)
time 616ms: Process J arrived (requires 46 frames)
time 617ms: Process G arrived (requires 13 frames)
time 617ms: Process F arrived (requires 24 frames)
time 617ms: Process J arrived (requires 46 frames)
time 618ms: Process G arrived (requires 13 frames)
time 618ms: Process F arrived (requires 24 frames)
time 618ms: Process J arrived (requires 46 frames)
time 619ms: Process G arrived (requires 13 frames)
time 619ms: Process F arrived (requires 24 frames)
time 619ms: Process J arrived (requires 46 frames)
time 620ms: Process G arrived (requires 13 frames)
time 620ms: Process F arrived (requires 24 frames)
time 620ms: Process J arrived (requires 46 frames)
time 621ms: Process G arrived (requires 13 frames)
time 621ms: Process F arrived (requires 24 frames)
time 621ms: Process J arrived (requires 46 frames)
time 622ms: Process G arrived (requires 13 frames)
time 622ms: Process F arrived (requires 24 frames)
time 622ms: Process J arrived (requires 46 frames)
time 623ms: Process G arrived (requires 13 frames)
time 623ms: Process F arrived (requires 24 frames)
time 623ms: Process J arrived (requires 46 frames)
time 624ms: Process G arrived (requires 13 frames)
time 624ms: Process F arrived (requires 24 frames)
time 624ms: Process J arrived (requires 46 frames)
time 625ms: Process G arrived (requires 13 frames)
time 625ms: Process F arrived (requires 24 frames)
time 625ms: Process J arrived (requires 46 frames)
time 626ms: Process G arrived (requires 13 frames)
time 626ms: Process F arrived (requires 24 frames)
time 626ms: Process J arrived (requires 46 frames)
time 627ms: Process G arrived (requires 13 frames)
time 627ms: Process F arrived (requires 24 frames)
time 627ms: Process J arrived (requires 46 frames)
time 628ms: Process G arrived (requires 13 frames)
time 628ms: Process F arrived (requires 24 frames)
time 628ms: Process J arrived (requires 46 frames)
time 629ms: Process G arrived (requires 13 frames)
time 629ms: Process F arrived (requires 24 frames)
time 629ms: Process J arrived (requires 46 frames)
time 630ms: Process G arrived (requires 13 frames)
time 630ms: Process F arrived (requires 24 frames)
time 630ms: Process J arrived (requires 46 frames)
time 631ms: Process G arrived (requires 13 frames)
time 631ms: Process F arrived (requires 24 frames)
time 631ms: Process J arrived (requires 46 frames)
time 632ms: Process G arrived (requires 13 frames)
time 632ms: Process F arrived (requires 24 frames)
time 632ms: Process J arrived (requires 46 frames)
time 633ms: Process G arrived (requires 13 frames)
time 633ms: Process F arrived (requires 24 frames)
time 633ms: Process J arrived (requires 46 frames)
time 634ms: Process G arrived (requires 13 frames)
time 634ms: Process F arrived (requires 24 frames)
time 634ms: Process J arrived (requires 46 frames)
time 635ms: Process G arrived (requires 13 frames)
time 635ms: Process F arrived (requires 24 frames)
time 635ms: Process J arrived (requires 46 frames)
time 636ms: Process G arrived (requires 13 frames)
time 636ms: Process F arrived (requires 24 frames)
time 636ms: Process J arrived (requires 46 frames)
time 637ms: Process G arrived (requires 13 frames)
time 637ms: Process F arrived (requires 24 frames)
time 637ms: Process J arrived (requires 46 frames)
time 638ms: Process G arrived (requires 13 frames)
time 638ms: Process F arrived (requires 24 frames)
time 638ms: Process J arrived (requires 46 frames)
time 639ms: Process G arrived (requires 13 frames)
time 639ms: Process F arrived (requires 24 frames)
time 639ms: Process J arrived (requires 46 frames)
time 640ms: Process G arrived (requires 13 frames)
time 640ms: Process F arrived (requires 24 frames)
time 640ms: Process J arrived (requires 46 frames)
time 641ms: Process G arrived (requires 13 frames)
time 641ms: Process F arrived (requires 24 frames)
time 641ms: Process J arrived (requires 46 frames)
time 642ms: Process G arrived (requires 13 frames)
time 642ms: Process F arrived (requires 24 frames)
time 642ms: Process J arrived (requires 46 frames)
time 643ms: Process G arrived (requires 13 frames)
time 643ms: Process F arrived (requires 24 frames)
time 643ms: Process J arrived (requires 46 frames)
time 644ms: Process G arrived (requires 13 frames)
time 644ms: Process F arrived (requires 24 frames)
time 644ms: Process J arrived (requires 46 frames)
time 645ms: Process G arrived (requires 13 frames)
time 645ms: Process F arrived (requires 24 frames)
time 645ms: Process J arrived (requires 46 frames)
time 646ms: Process G arrived (requires 13 frames)
time 646ms: Process F arrived (requires 24 frames)
time 646ms: Process J arrived (requires 46 frames)
time 647ms: Process G arrived (requires 13 frames)
time 647ms: Process F arrived (requires 24 frames)
time 647ms: Process J arrived (requires 46 frames)
time 648ms: Process G arrived (requires 13 frames)
time 648ms: Process F arrived (requires 24 frames)
time 648ms: Process J arrived (requires 46 frames)
time 649ms: Process G arrived (requires 13 frames)
time 649ms: Process F arrived (requires 24 frames)
time 649ms: Process J arrived (requires 46 frames)
time 650ms: Process D removed:
time 650ms: Process G arrived (requires 13 frames)
time 650ms: Process F arrived (requires 24 frames)
time 650ms: Process J arrived (requires 46 frames)
time 651ms: Process G arrived (requires 13 frames)
time 651ms: Process F arrived (requires 24 frames)
time 651ms: Process J arrived (requires 46 frames)
time 652ms: Process G arrived (requires 13 frames)
time 652ms: Process F arrived (requires 24 frames)
time 652ms: Process J arrived (requires 46 frames)
time 653ms: Process G arrived (requires 13 frames)
time 653ms: Process F arrived (requires 24 frames)
time 653ms: Process J arrived (requires 46 frames)
time 654ms: Process G arrived (requires 13 frames)
time 654ms: Process F arrived (requires 24 frames)
time 654ms: Process J arrived (requires 46 frames)
time 655ms: Process G arrived (requires 13 frames)
time 655ms: Process F arrived (requires 24 frames)
time 655ms: Process J arrived (requires 46 frames)
time 656ms: Process G arrived (requires 13 frames)
time 656ms: Process F arrived (requires 24 frames)
time 656ms: Process J arrived (requires 46 frames)
time 657ms: Process G arrived (requires 13 frames)
time 657ms: Process F arrived (requires 24 frames)
time 657ms: Process J arrived (requires 46 frames)
time 658ms: Process G arrived (requires 13 frames)
time 658ms: Process F arrived (requires 24 frames)
time 658ms: Process J arrived (requires 46 frames)
time 659ms: Process G arrived (requires 13 frames)
time 659ms: Process F arrived (requires 24 frames)
time 659ms: Process J arrived (requires 46 frames)
time 660ms: Process G arrived (requires 13 frames)
time 660ms: Process F arrived (requires 24 frames)
time 660ms: Process J arrived (requires 46 frames)
time 661ms: Process G arrived (requires 13 frames)
time 661ms: Process F arrived (requires 24 frames)
time 661ms: Process J arrived (requires 46 frames)
time 662ms: Process G arrived (requires 13 frames)
time 662ms: Process F arrived (requires 24 frames)
time 662ms: Process J arrived (requires 46 frames)
time 663ms: Process G arrived (requires 13 frames)
time 663ms: Process F arrived (requires 24 frames)
time 663ms: Process J arrived (requires 46 frames)
time 664ms: Process G arrived (requires 13 frames)
time 664ms: Process F arrived (requires 24 frames)
time 664ms: Process J arrived (requires 46 frames)
time 665ms: Process G arrived (requires 13 frames)
time 665ms: Process F arrived (requires 24 frames)
time 665ms: Process J arrived (requires 46 frames)
time 666ms: Process G arrived (requires 13 frames)
time 666ms: Process F arrived (requires 24 frames)
time 666ms: Process J arrived (requires 46 frames)
time 667ms: Process G arrived (requires 13 frames)
time 667ms: Process F arrived (requires 24 frames)
time 667ms: Process J arrived (requires 46 frames)
time 668ms: Process G arrived (requires 13 frames)
time 668ms: Process F arrived (requires 24 frames)
time 668ms: Process J arrived (requires 46 frames)
time 669ms: Process G arrived (requires 13 frames)
time 669ms: Process F arrived (requires 24 frames)
time 669ms: Process J arrived (requires 46 frames)
time 670ms: Process G arrived (requires 13 frames)
time 670ms: Process F arrived (requires 24 frames)
time 670ms: Process J arrived (requires 46 frames)
time 671ms: Process G arrived (requires 13 frames)
time 671ms: Process F arrived (requires 24 frames)
time 671ms: Process J arrived (requires 46 frames)
time 672ms: Process G arrived (requires 13 frames)
time 672ms: Process F arrived (requires 24 frames)
time 672ms: Process J arrived (requires 46 frames)
time 673ms: Process G arrived (requires 13 frames)
time 673ms: Process F arrived (requires 24 frames)
time 673ms: Process J arrived (requires 46 frames)
time 674ms: Process G arrived (requires 13 frames)
time 674ms: Process F arrived (requires 24 frames)
time 674ms: Process J arrived (requires 46 frames)
time 675ms: Process G arrived (requires 13 frames)
time 675ms: Process F arrived (requires 24 frames)
time 675ms: Process J arrived (requires 46 frames)
time 676ms: Process G arrived (requires 13 frames)
time 676ms: Process F arrived (requires 24 frames)
time 676ms: Process J arrived (requires 46 frames)
time 677ms: Process G arrived (requires 13 frames)
time 677ms: Process F arrived (requires 24 frames)
time 677ms: Process J arrived (requires 46 frames)
time 678ms: Process G arrived (requires 13 frames)
time 678ms: Process F arrived (requires 24 frames)
time 678ms: Process J arrived (requires 46 frames)
time 679ms: Process G arrived (requires 13 frames)
time 679ms: Process F arrived (requires 24 frames)
time 679ms: Process J arrived (requires 46 frames)
time 680ms: Process G arrived (requires 13 frames)
time 680ms: Process F arrived (requires 24 frames)
time 680ms: Process J arrived (requires 46 frames)
time 681ms: Process G arrived (requires 13 frames)
time 681ms: Process F arrived (requires 24 frames)
time 681ms: Process J arrived (requires 46 frames)
time 682ms: Process G arrived (requires 13 frames)
time 682ms: Process F arrived (requires 24 frames)
time 682ms: Process J arrived (requires 46 frames)
time 683ms: Process G arrived (requires 13 frames)
time 683ms: Process F arrived (requires 24 frames)
time 683ms: Process J arrived (requires 46 frames)
time 684ms: Process G arrived (requires 13 frames)
time 684ms: Process F arrived (requires 24 frames)
time 684ms: Process J arrived (requires 46 frames)
time 685ms: Process G arrived (requires 13 frames)
time 685ms: Process F arrived (requires 24 frames)
time 685ms: Process J arrived (requires 46 frames)
time 686ms: Process G arrived (requires 13 frames)
time 686ms: Process F arrived (requires 24 frames)
time 686ms: Process J arrived (requires 46 frames)
time 687ms: Process G arrived (requires 13 frames)
time 687ms: Process F arrived (requires 24 frames)
time 687ms: Process J arrived (requires 46 frames)
time 688ms: Process G arrived (requires 13 frames)
time 688ms: Process F arrived (requires 24 frames)
time 688ms: Process J arrived (requires 46 frames)
time 689ms: Process G arrived (requires 13 frames)
time 689ms: Process F arrived (requires 24 frames)
time 689ms: Process J arrived (requires 46 frames)
time 690ms: Process G arrived (requires 13 frames)
time 690ms: Process F arrived (requires 24 frames)
time 690ms: Process J arrived (requires 46 frames)
time 691ms: Process G arrived (requires 13 frames)
time 691ms: Process F arrived (requires 24 frames)
time 691ms: Process J arrived (requires 46 frames)
time 692ms: Process G arrived (requires 13 frames)
time 692ms: Process F arrived (requires 24 frames)
time 692ms: Process J arrived (requires 46 frames)
time 693ms: Process G arrived (requires 13 frames)
time 693ms: Process F arrived (requires 24 frames)
time 693ms: Process J arrived (requires 46 frames)
time 694ms: Process G arrived (requires 13 frames)
time 694ms: Process F arrived (requires 24 frames)
time 694ms: Process J arrived (requires 46 frames)
time 695ms: Process G arrived (requires 13 frames)
time 695ms: Process F arrived (requires 24 frames)
time 695ms: Process J arrived (requires 46 frames)
time 696ms: Process G arrived (requires 13 frames)
time 696ms: Process F arrived (requires 24 frames)
time 696ms: Process J arrived (requires 46 frames)
time 697ms: Process G arrived (requires 13 frames)
time 697ms: Process F arrived (requires 24 frames)
time 697ms: Process J arrived (requires 46 frames)
time 698ms: Process G arrived (requires 13 frames)
time 698ms: Process F arrived (requires 24 frames)
time 698ms: Process J arrived (requires 46 frames)
time 699ms: Process G arrived (requires 13 frames)
time 699ms: Process F arrived (requires 24 frames)
time 699ms: Process J arrived (requires 46 frames)
time 700ms: Process G arrived (requires 13 frames)
time 700ms: Process F arrived (requires 24 frames)
time 700ms: Process J arrived (requires 46 frames)
time 701ms: Process G arrived (requires 13 frames)
